CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,all_SNPs_100kb,r01_10kb_count,r03_10kb_count,r05_10kb_count,all_SNPs_10kb,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_allSNPs_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb,ratio_all_SNPs_10kb
chr19,16999671,17003417,9002,22,44,71,682,3,4,9,82,3746,0.01%,0.02%,0.03%,0.33%,0.01%,0.02%,0.04%,0.35%
chr9,96713905,96717654,56033,22,43,73,846,2,2,3,78,3749,0.01%,0.02%,0.04%,0.42%,0.01%,0.01%,0.01%,0.33%
chr19,49340354,49371889,57664,25,67,109,1062,4,8,16,277,31535,0.01%,0.03%,0.05%,0.46%,0.01%,0.02%,0.03%,0.54%
chr16,3179778,3192806,7760,23,42,64,828,1,2,4,82,13028,0.01%,0.02%,0.03%,0.39%,0.00%,0.01%,0.01%,0.25%
chr6,52761437,52774483,2940,23,55,68,869,1,6,7,137,13046,0.01%,0.03%,0.03%,0.41%,0.00%,0.02%,0.02%,0.41%
chr16,1845621,1877195,3029,25,42,83,1483,11,17,27,526,31574,0.01%,0.02%,0.04%,0.64%,0.02%,0.03%,0.05%,1.02%
chr20,1422807,1454487,55968,25,72,118,945,2,8,18,168,31680,0.01%,0.03%,0.05%,0.41%,0.00%,0.02%,0.03%,0.33%
chr17,71330523,71640228,54549,55,128,219,2078,37,86,137,1247,309705,0.01%,0.03%,0.04%,0.41%,0.01%,0.03%,0.04%,0.38%
chr19,18545198,18549111,51477,22,48,66,705,1,2,2,68,3913,0.01%,0.02%,0.03%,0.35%,0.00%,0.01%,0.01%,0.28%
chr12,25173936,25261268,4033,31,80,148,1360,14,29,53,505,87332,0.01%,0.03%,0.05%,0.47%,0.01%,0.03%,0.05%,0.47%
chr5,141971743,142077617,2246,33,66,100,1246,23,44,62,528,105874,0.01%,0.02%,0.03%,0.41%,0.02%,0.03%,0.05%,0.42%
chr21,45192393,45196326,1476,22,41,64,929,3,7,11,104,3933,0.01%,0.02%,0.03%,0.46%,0.01%,0.03%,0.05%,0.43%
chr3,186915274,186919253,132112,22,47,78,782,1,3,7,77,3979,0.01%,0.02%,0.04%,0.38%,0.00%,0.01%,0.03%,0.32%
chr6,485133,693117,55770,44,106,182,1889,22,55,89,976,207984,0.01%,0.03%,0.04%,0.46%,0.01%,0.02%,0.04%,0.43%
chr3,10857885,10982419,6538,35,83,123,1303,11,22,45,533,124534,0.01%,0.03%,0.04%,0.40%,0.01%,0.02%,0.03%,0.37%
chr9,93564069,93660831,6850,32,98,149,1536,20,55,91,645,96762,0.01%,0.03%,0.05%,0.52%,0.02%,0.05%,0.08%,0.55%
chr9,107526438,107539738,55335,23,43,73,859,3,8,13,104,13300,0.01%,0.02%,0.03%,0.40%,0.01%,0.02%,0.04%,0.31%
chr20,5917881,5931182,51605,23,54,75,963,5,9,15,170,13301,0.01%,0.03%,0.04%,0.45%,0.02%,0.03%,0.05%,0.51%
chr19,17003758,17137625,27151,36,89,139,1307,23,53,89,656,133867,0.01%,0.03%,0.04%,0.39%,0.01%,0.03%,0.06%,0.43%
chr10,131265448,131566271,4255,54,115,190,2369,28,65,114,1642,300823,0.01%,0.02%,0.04%,0.47%,0.01%,0.02%,0.04%,0.51%
chr17,6939394,6943440,201232,22,48,72,880,1,6,8,104,4046,0.01%,0.02%,0.04%,0.43%,0.00%,0.02%,0.03%,0.43%
chr16,333152,337215,64714,22,62,98,966,3,12,20,142,4063,0.01%,0.03%,0.05%,0.47%,0.01%,0.05%,0.08%,0.59%
chr1,11072414,11085796,23435,23,36,48,808,2,2,4,94,13382,0.01%,0.02%,0.02%,0.38%,0.01%,0.01%,0.01%,0.28%
chr1,12976450,12980569,441871,22,46,70,652,1,2,2,19,4119,0.01%,0.02%,0.03%,0.32%,0.00%,0.01%,0.01%,0.08%
chr5,141337893,141369856,9604,25,58,95,841,5,13,24,213,31963,0.01%,0.03%,0.04%,0.36%,0.01%,0.03%,0.05%,0.41%
chr1,158223927,158228059,909,22,31,46,816,2,3,7,70,4132,0.01%,0.02%,0.02%,0.40%,0.01%,0.01%,0.03%,0.29%
chr6,129897277,130031370,93663,36,94,148,1448,13,37,58,572,134093,0.01%,0.03%,0.04%,0.43%,0.01%,0.02%,0.04%,0.37%
chr12,86198331,86230348,9182,25,56,78,1208,4,10,12,240,32017,0.01%,0.02%,0.03%,0.52%,0.01%,0.02%,0.02%,0.46%
chr12,113494514,113535833,1840,26,46,69,910,8,16,25,268,41319,0.01%,0.02%,0.03%,0.38%,0.01%,0.03%,0.04%,0.44%
chr19,3506271,3538328,51343,25,51,87,987,3,7,12,189,32057,0.01%,0.02%,0.04%,0.43%,0.01%,0.01%,0.02%,0.36%
chr19,7953390,7966901,80131,23,57,79,791,6,13,20,146,13511,0.01%,0.03%,0.04%,0.37%,0.02%,0.04%,0.06%,0.44%
chr16,3019246,3023490,124222,22,60,96,986,0,4,6,86,4244,0.01%,0.03%,0.05%,0.48%,0.00%,0.02%,0.02%,0.35%
chr12,133345495,133405444,2802,28,77,111,1224,10,25,37,395,59949,0.01%,0.03%,0.04%,0.47%,0.01%,0.03%,0.05%,0.49%
chr3,186838736,186898696,116832,28,60,93,969,12,21,30,344,59960,0.01%,0.02%,0.04%,0.37%,0.02%,0.03%,0.04%,0.43%
chr10,134351324,134596979,3632,48,104,152,2256,22,50,73,1072,245655,0.01%,0.02%,0.03%,0.51%,0.01%,0.02%,0.03%,0.40%
chr3,71820807,71834357,60675,23,52,85,779,3,11,15,103,13550,0.01%,0.02%,0.04%,0.36%,0.01%,0.03%,0.04%,0.31%
chr7,100472733,100486285,51593,23,45,60,689,4,7,8,85,13552,0.01%,0.02%,0.03%,0.32%,0.01%,0.02%,0.02%,0.25%
chr11,73583712,73588033,51287,22,49,64,782,3,6,6,79,4321,0.01%,0.02%,0.03%,0.38%,0.01%,0.02%,0.02%,0.32%
chr17,77071021,77084681,64772,23,69,98,1087,3,6,10,142,13660,0.01%,0.03%,0.05%,0.51%,0.01%,0.02%,0.03%,0.42%
chr20,44441215,44445596,11065,22,37,55,931,0,1,5,88,4381,0.01%,0.02%,0.03%,0.46%,0.00%,0.00%,0.02%,0.36%
chr8,139142266,139509065,51059,61,128,194,2543,48,103,143,1705,366799,0.01%,0.02%,0.03%,0.45%,0.01%,0.03%,0.04%,0.44%
chr15,29412457,29862927,23359,70,153,203,2646,48,114,152,1953,450470,0.01%,0.02%,0.03%,0.41%,0.01%,0.02%,0.03%,0.42%
chr16,3013945,3018384,79412,22,61,97,982,0,5,7,94,4439,0.01%,0.03%,0.05%,0.48%,0.00%,0.02%,0.03%,0.38%
chr19,2037470,2051243,2872,23,60,90,1081,0,9,18,154,13773,0.01%,0.03%,0.04%,0.51%,0.00%,0.03%,0.05%,0.46%
chr11,20691117,21597227,4745,119,291,453,4883,98,239,373,3894,906110,0.01%,0.03%,0.04%,0.44%,0.01%,0.03%,0.04%,0.42%
chr5,178487416,178510538,30832,24,58,86,930,2,6,9,148,23122,0.01%,0.03%,0.04%,0.42%,0.00%,0.01%,0.02%,0.34%
chr9,115923286,115983641,23307,28,61,108,901,11,19,44,363,60355,0.01%,0.02%,0.04%,0.35%,0.01%,0.02%,0.05%,0.45%
chr5,125967414,125971979,389320,22,52,81,912,1,6,11,114,4565,0.01%,0.03%,0.04%,0.45%,0.00%,0.02%,0.04%,0.46%
chr6,123100620,123105219,2173,22,56,101,921,5,12,14,82,4599,0.01%,0.03%,0.05%,0.45%,0.02%,0.05%,0.06%,0.33%
chr22,39516172,39548679,23492,25,56,80,979,4,10,15,195,32507,0.01%,0.02%,0.03%,0.42%,0.01%,0.02%,0.03%,0.37%
chr17,45277812,45301045,4635,24,49,78,766,6,14,19,116,23233,0.01%,0.02%,0.03%,0.34%,0.01%,0.03%,0.04%,0.27%
chr11,36508577,36531822,7189,24,37,57,720,2,2,6,101,23245,0.01%,0.02%,0.03%,0.32%,0.00%,0.00%,0.01%,0.23%
chr13,53418109,53422775,5100,22,53,81,771,3,7,10,75,4666,0.01%,0.03%,0.04%,0.38%,0.01%,0.03%,0.04%,0.30%
chr14,103589779,103603776,7127,23,47,73,990,6,8,12,137,13997,0.01%,0.02%,0.03%,0.46%,0.02%,0.02%,0.04%,0.40%
chr7,150497491,150502208,55365,22,56,99,987,2,12,22,127,4717,0.01%,0.03%,0.05%,0.48%,0.01%,0.05%,0.09%,0.51%
chr17,39502344,39507064,3883,22,46,54,671,1,2,2,52,4720,0.01%,0.02%,0.03%,0.33%,0.00%,0.01%,0.01%,0.21%
chr17,39657233,39661957,3860,22,48,68,822,6,12,18,85,4724,0.01%,0.02%,0.03%,0.40%,0.02%,0.05%,0.07%,0.34%
chr17,39533902,39538655,3885,22,48,60,781,1,4,5,60,4753,0.01%,0.02%,0.03%,0.38%,0.00%,0.02%,0.02%,0.24%
chr12,108681821,108733118,1240,27,63,103,962,11,26,39,283,51297,0.01%,0.03%,0.04%,0.38%,0.02%,0.04%,0.05%,0.40%
chr12,121675497,121736111,10645,28,66,96,1084,9,21,32,288,60614,0.01%,0.03%,0.04%,0.42%,0.01%,0.03%,0.04%,0.36%
chr17,79506911,79520987,80233,23,50,95,1242,8,15,24,184,14076,0.01%,0.02%,0.04%,0.58%,0.02%,0.04%,0.07%,0.54%
chr10,135093135,135125841,10844,25,66,88,1161,8,18,25,227,32706,0.01%,0.03%,0.04%,0.50%,0.02%,0.03%,0.05%,0.43%
chr22,32439019,32509016,6523,29,57,76,1169,11,18,23,284,69997,0.01%,0.02%,0.03%,0.43%,0.01%,0.02%,0.03%,0.32%
chr8,15274724,15624158,7991,59,172,283,3554,38,109,175,2145,349434,0.01%,0.03%,0.05%,0.65%,0.01%,0.03%,0.05%,0.58%
chr19,3539152,3544028,100128569,22,43,75,844,2,6,10,134,4876,0.01%,0.02%,0.04%,0.41%,0.01%,0.02%,0.04%,0.54%
chr4,41746099,41750987,8929,22,41,55,835,2,3,5,93,4888,0.01%,0.02%,0.03%,0.41%,0.01%,0.01%,0.02%,0.37%
chr7,2671585,2704436,80727,25,72,127,1295,7,17,30,214,32851,0.01%,0.03%,0.05%,0.56%,0.01%,0.03%,0.06%,0.40%
chr4,101107027,101111939,115265,22,55,87,937,5,13,20,152,4912,0.01%,0.03%,0.04%,0.46%,0.02%,0.05%,0.08%,0.61%
chr19,18553473,18632937,8178,30,60,85,982,8,18,20,328,79464,0.01%,0.02%,0.03%,0.35%,0.01%,0.02%,0.02%,0.33%
chr15,93426526,93571237,1106,37,118,192,1468,12,37,65,590,144711,0.01%,0.03%,0.06%,0.43%,0.01%,0.02%,0.04%,0.36%
chr7,158820866,158937649,7434,34,80,126,1414,11,30,43,674,116783,0.01%,0.03%,0.04%,0.45%,0.01%,0.02%,0.03%,0.49%
chr19,16466050,16582896,58513,34,63,100,1088,12,17,25,406,116846,0.01%,0.02%,0.03%,0.34%,0.01%,0.01%,0.02%,0.30%
chr12,125431371,125473668,57647,26,80,122,1155,13,28,43,416,42297,0.01%,0.03%,0.05%,0.48%,0.02%,0.04%,0.07%,0.67%
chr22,20748405,20762745,7625,23,53,71,649,2,8,11,170,14340,0.01%,0.02%,0.03%,0.30%,0.01%,0.02%,0.03%,0.50%
chr1,248100493,248264224,284521,39,72,107,1683,19,31,44,770,163731,0.01%,0.02%,0.03%,0.46%,0.01%,0.02%,0.02%,0.42%
chr1,33938246,33962107,7579,24,54,77,783,3,6,7,107,23861,0.01%,0.02%,0.03%,0.35%,0.01%,0.01%,0.02%,0.24%
chr8,99129525,99172062,10940,26,80,115,900,5,19,28,290,42537,0.01%,0.03%,0.05%,0.37%,0.01%,0.03%,0.04%,0.46%
chr18,57098172,57364612,147372,50,135,190,2273,34,88,119,1447,266440,0.01%,0.03%,0.04%,0.49%,0.01%,0.03%,0.04%,0.51%
chr7,6048876,6063465,7965,23,52,85,789,5,11,21,183,14589,0.01%,0.02%,0.04%,0.37%,0.01%,0.03%,0.06%,0.53%
chr17,16832849,16875432,23495,26,61,114,1181,7,16,29,346,42583,0.01%,0.03%,0.05%,0.49%,0.01%,0.03%,0.05%,0.55%
chr10,126676421,126849739,1488,40,102,155,1480,24,65,96,881,173318,0.01%,0.03%,0.04%,0.40%,0.01%,0.03%,0.05%,0.46%
chr12,96394606,96437298,4048,26,71,111,1111,7,16,23,270,42692,0.01%,0.03%,0.05%,0.46%,0.01%,0.03%,0.04%,0.43%
chr5,56215429,56267502,166968,27,61,95,1009,4,10,16,259,52073,0.01%,0.02%,0.04%,0.40%,0.01%,0.01%,0.02%,0.36%
chr12,6874682,6880116,5763,22,50,75,672,3,5,9,65,5434,0.01%,0.02%,0.04%,0.33%,0.01%,0.02%,0.04%,0.26%
chr13,31506840,31549639,122046,26,67,112,912,3,11,21,212,42799,0.01%,0.03%,0.05%,0.38%,0.00%,0.02%,0.03%,0.34%
chr17,8656424,8661877,388333,22,62,102,760,0,3,6,79,5453,0.01%,0.03%,0.05%,0.37%,0.00%,0.01%,0.02%,0.31%
chr3,126061478,126076285,28999,23,65,100,892,0,1,4,79,14807,0.01%,0.03%,0.05%,0.42%,0.00%,0.00%,0.01%,0.23%
chr11,124753587,124768396,54538,23,66,98,890,2,6,12,163,14809,0.01%,0.03%,0.05%,0.41%,0.01%,0.02%,0.03%,0.47%
chr12,6560856,6575683,55080,23,52,89,902,3,8,13,170,14827,0.01%,0.02%,0.04%,0.42%,0.01%,0.02%,0.04%,0.49%
chr19,36705504,36729676,7705,24,65,89,796,2,10,15,142,24172,0.01%,0.03%,0.04%,0.36%,0.00%,0.02%,0.03%,0.32%
chr19,11274943,11308467,25959,25,52,69,1022,5,10,14,231,33524,0.01%,0.02%,0.03%,0.44%,0.01%,0.02%,0.03%,0.43%
chr17,72352555,72358085,388419,22,51,81,858,4,9,15,100,5530,0.01%,0.02%,0.04%,0.42%,0.02%,0.04%,0.06%,0.39%
chr18,43906772,44043103,494470,36,84,137,1099,19,41,64,538,136331,0.01%,0.02%,0.04%,0.33%,0.01%,0.03%,0.04%,0.34%
chr10,135160650,135166187,118471,22,48,73,981,1,3,5,153,5537,0.01%,0.02%,0.04%,0.48%,0.00%,0.01%,0.02%,0.60%
chr20,62665697,62671315,284739,22,53,85,687,2,3,6,75,5618,0.01%,0.03%,0.04%,0.33%,0.01%,0.01%,0.02%,0.29%
chr19,14625582,14640582,3337,23,64,98,860,3,7,12,123,15000,0.01%,0.03%,0.05%,0.40%,0.01%,0.02%,0.03%,0.35%
chr16,89262406,89268072,146429,22,49,72,1272,2,4,11,151,5666,0.01%,0.02%,0.04%,0.62%,0.01%,0.02%,0.04%,0.59%
chr12,51785101,51902980,9498,34,64,89,907,16,24,30,352,117879,0.01%,0.02%,0.03%,0.29%,0.01%,0.02%,0.02%,0.26%
chr6,36708552,36807778,57699,32,81,135,1360,13,38,71,544,99226,0.01%,0.03%,0.05%,0.45%,0.01%,0.03%,0.06%,0.46%
chr11,122928197,122933938,3312,22,42,54,982,4,4,5,130,5741,0.01%,0.02%,0.03%,0.48%,0.02%,0.02%,0.02%,0.51%
chr11,6496910,6502666,23647,22,47,70,604,0,2,2,57,5756,0.01%,0.02%,0.03%,0.29%,0.00%,0.01%,0.01%,0.22%
chr16,8715540,8740081,79091,24,59,102,1032,3,10,16,184,24541,0.01%,0.03%,0.05%,0.46%,0.01%,0.02%,0.04%,0.41%
chr19,16244838,16269386,84941,24,51,76,873,10,13,17,142,24548,0.01%,0.02%,0.03%,0.39%,0.02%,0.03%,0.04%,0.32%
chr20,42136320,42179590,26013,26,61,100,956,5,13,22,216,43270,0.01%,0.03%,0.04%,0.39%,0.01%,0.02%,0.03%,0.34%
chr20,17206752,17465223,5126,49,117,173,1919,31,77,111,1208,258471,0.01%,0.03%,0.04%,0.42%,0.01%,0.03%,0.04%,0.43%
chr4,69681711,69696914,7365,23,43,76,1144,3,5,11,159,15203,0.01%,0.02%,0.04%,0.53%,0.01%,0.01%,0.03%,0.45%
chr20,62605466,62611361,140700,22,43,69,687,2,7,15,95,5895,0.01%,0.02%,0.03%,0.33%,0.01%,0.03%,0.06%,0.37%
chr17,80572438,80606429,56270,25,81,130,1239,7,20,31,253,33991,0.01%,0.03%,0.06%,0.53%,0.01%,0.04%,0.06%,0.47%
chr6,4706393,4955785,9425,48,101,177,1870,25,54,98,989,249392,0.01%,0.02%,0.04%,0.42%,0.01%,0.02%,0.04%,0.37%
chr8,128747680,128753674,4609,22,52,73,697,3,8,9,95,5994,0.01%,0.03%,0.04%,0.34%,0.01%,0.03%,0.03%,0.37%
chr13,114523522,114567046,2621,26,69,107,1025,11,29,48,389,43524,0.01%,0.03%,0.04%,0.42%,0.02%,0.05%,0.08%,0.61%
chr4,90157537,90229161,285513,29,74,115,1088,7,23,42,303,71624,0.01%,0.03%,0.04%,0.40%,0.01%,0.03%,0.05%,0.33%
chr1,212965170,212989968,128387,24,67,99,1315,1,8,14,228,24798,0.01%,0.03%,0.04%,0.58%,0.00%,0.02%,0.03%,0.51%
chr15,79575146,79590580,390616,23,47,82,854,1,6,6,81,15434,0.01%,0.02%,0.04%,0.40%,0.00%,0.02%,0.02%,0.23%
chr2,231067826,231223762,11262,38,94,158,1569,15,38,60,646,155936,0.01%,0.03%,0.04%,0.44%,0.01%,0.02%,0.03%,0.37%
chr15,42433332,42448839,255189,23,38,67,735,7,12,17,112,15507,0.01%,0.02%,0.03%,0.34%,0.02%,0.03%,0.05%,0.32%
chr6,39266777,39282329,89822,23,58,100,1128,2,10,19,186,15552,0.01%,0.03%,0.05%,0.52%,0.01%,0.03%,0.05%,0.52%
chr10,17686124,17757913,8027,29,71,105,1006,12,28,47,471,71789,0.01%,0.03%,0.04%,0.37%,0.01%,0.03%,0.05%,0.51%
chr1,160709037,160724611,57823,23,44,73,791,1,3,7,104,15574,0.01%,0.02%,0.03%,0.37%,0.00%,0.01%,0.02%,0.29%
chr8,11141925,11185646,66036,26,54,91,1113,6,9,11,241,43721,0.01%,0.02%,0.04%,0.46%,0.01%,0.01%,0.02%,0.38%
chr8,11653082,11696818,2222,26,76,144,1678,8,22,44,505,43736,0.01%,0.03%,0.06%,0.69%,0.01%,0.03%,0.07%,0.79%
chr17,52976748,53039310,10040,28,66,103,953,7,18,26,314,62562,0.01%,0.03%,0.04%,0.36%,0.01%,0.02%,0.03%,0.38%
chr20,44470360,44486045,10005,23,39,57,841,8,10,12,143,15685,0.01%,0.02%,0.03%,0.39%,0.02%,0.03%,0.03%,0.40%
chr19,18529674,18545372,170463,23,51,73,744,1,2,2,92,15698,0.01%,0.02%,0.03%,0.34%,0.00%,0.01%,0.01%,0.26%
chr22,28144265,28197486,4330,27,65,96,835,14,32,48,224,53221,0.01%,0.03%,0.04%,0.33%,0.02%,0.04%,0.07%,0.31%
chr12,11544476,11653975,653247,33,63,92,1197,14,29,41,580,109499,0.01%,0.02%,0.03%,0.39%,0.01%,0.02%,0.03%,0.45%
chr7,150929575,150935908,54480,22,54,75,707,3,3,6,77,6333,0.01%,0.03%,0.04%,0.34%,0.01%,0.01%,0.02%,0.29%
chr15,23810454,23873064,7681,28,75,106,1019,9,23,29,266,62610,0.01%,0.03%,0.04%,0.39%,0.01%,0.03%,0.04%,0.32%
chr1,13909960,13944452,10630,25,65,95,1221,10,22,34,242,34492,0.01%,0.03%,0.04%,0.52%,0.02%,0.04%,0.06%,0.44%
chr10,90750414,90775542,355,24,57,88,943,4,12,19,235,25128,0.01%,0.03%,0.04%,0.42%,0.01%,0.03%,0.04%,0.52%
chr7,13930853,14031050,2115,32,75,111,1441,17,34,53,576,100197,0.01%,0.02%,0.04%,0.48%,0.01%,0.03%,0.04%,0.48%
chr19,14800613,14844558,84449,26,71,115,1167,2,11,19,272,43945,0.01%,0.03%,0.05%,0.48%,0.00%,0.02%,0.03%,0.43%
chr19,52392477,52408293,65251,23,43,74,1099,2,3,8,204,15816,0.01%,0.02%,0.03%,0.51%,0.01%,0.01%,0.02%,0.57%
chr10,95372345,95425767,5146,27,55,79,1132,13,23,31,300,53422,0.01%,0.02%,0.03%,0.45%,0.02%,0.03%,0.04%,0.41%
chr19,55344131,55360024,3809,23,58,86,1000,2,7,10,71,15893,0.01%,0.03%,0.04%,0.46%,0.01%,0.02%,0.03%,0.20%
chr10,135121979,135166033,118472,26,67,95,1212,3,5,7,283,44054,0.01%,0.03%,0.04%,0.50%,0.00%,0.01%,0.01%,0.44%
chr11,76493295,76509198,25987,23,59,88,927,5,12,19,129,15903,0.01%,0.03%,0.04%,0.43%,0.01%,0.03%,0.05%,0.36%
chr18,214520,268050,9984,27,83,123,1001,5,13,15,207,53530,0.01%,0.03%,0.05%,0.39%,0.01%,0.02%,0.02%,0.28%
chr5,125877533,125931110,501,27,61,98,1002,9,22,32,293,53577,0.01%,0.02%,0.04%,0.40%,0.01%,0.03%,0.04%,0.40%
chr1,103342023,103574052,1301,46,92,124,2178,26,50,67,1245,232029,0.01%,0.02%,0.03%,0.50%,0.01%,0.02%,0.03%,0.49%
chr4,39046659,39128477,51088,30,66,93,1053,6,14,25,369,81818,0.01%,0.02%,0.03%,0.37%,0.01%,0.01%,0.02%,0.36%
chr22,46639908,46646576,150383,22,29,38,711,3,5,5,118,6668,0.01%,0.01%,0.02%,0.34%,0.01%,0.02%,0.02%,0.44%
chr2,113816215,113822959,26525,22,58,84,932,4,9,9,164,6744,0.01%,0.03%,0.04%,0.45%,0.01%,0.03%,0.03%,0.61%
chr16,89334038,89556969,29123,45,88,136,1813,21,37,53,817,222931,0.01%,0.02%,0.03%,0.43%,0.01%,0.02%,0.02%,0.34%
chr11,60197062,60222687,64232,24,56,63,893,3,11,14,185,25625,0.01%,0.02%,0.03%,0.40%,0.01%,0.02%,0.03%,0.41%
chr2,3705785,3750261,55821,26,64,115,1258,1,9,20,320,44476,0.01%,0.03%,0.05%,0.51%,0.00%,0.01%,0.03%,0.50%
chr15,34817408,34880704,23015,28,81,140,1327,10,31,59,493,63296,0.01%,0.03%,0.05%,0.50%,0.01%,0.04%,0.07%,0.59%
chr11,1411129,1483919,9024,29,76,120,1355,18,40,55,546,72790,0.01%,0.03%,0.04%,0.50%,0.02%,0.04%,0.06%,0.59%
chr1,245133007,245290466,84288,38,84,120,1323,19,34,51,627,157459,0.01%,0.02%,0.03%,0.37%,0.01%,0.02%,0.03%,0.35%
chr1,12939045,12946025,400735,22,50,79,1075,4,6,9,120,6980,0.01%,0.02%,0.04%,0.52%,0.01%,0.02%,0.03%,0.44%
chr9,14734664,14910993,158326,40,107,175,1841,26,70,119,1005,176329,0.01%,0.03%,0.05%,0.49%,0.01%,0.04%,0.06%,0.51%
chr19,49458072,49465055,581,22,55,86,1039,2,6,8,88,6983,0.01%,0.03%,0.04%,0.50%,0.01%,0.02%,0.03%,0.33%
chr9,27325207,27529779,79817,43,110,184,1926,24,62,93,967,204572,0.01%,0.03%,0.05%,0.48%,0.01%,0.03%,0.04%,0.43%
chr19,17186591,17325346,4650,36,110,174,1632,19,47,69,744,138755,0.01%,0.03%,0.05%,0.48%,0.01%,0.03%,0.04%,0.47%
chr11,6469843,6495689,10612,24,56,80,676,4,11,14,101,25846,0.01%,0.02%,0.04%,0.30%,0.01%,0.02%,0.03%,0.22%
chr11,1295601,1330884,54472,25,62,110,1244,2,6,15,216,35283,0.01%,0.03%,0.05%,0.53%,0.00%,0.01%,0.03%,0.39%
chr5,141232938,141258811,5097,24,58,94,837,7,15,24,114,25873,0.01%,0.03%,0.04%,0.37%,0.02%,0.03%,0.05%,0.25%
chr17,6347735,6354789,54478,22,62,105,994,3,11,18,150,7054,0.01%,0.03%,0.05%,0.48%,0.01%,0.04%,0.07%,0.55%
chr2,71205510,71212626,79998,22,50,86,906,2,7,9,98,7116,0.01%,0.02%,0.04%,0.44%,0.01%,0.03%,0.03%,0.36%
chr1,18434240,18704977,84966,50,149,225,2131,38,105,156,1338,270737,0.01%,0.03%,0.05%,0.45%,0.01%,0.04%,0.05%,0.46%
chr4,187508937,187647876,2195,36,91,164,1354,14,38,68,657,138939,0.01%,0.03%,0.05%,0.40%,0.01%,0.02%,0.04%,0.41%
chr22,51176624,51183762,49,22,45,82,563,1,8,16,98,7138,0.01%,0.02%,0.04%,0.27%,0.00%,0.03%,0.06%,0.36%
chr1,17312453,17338423,23400,24,38,56,977,3,3,7,135,25970,0.01%,0.02%,0.02%,0.43%,0.01%,0.01%,0.02%,0.29%
chr7,5470966,5553429,80028,30,83,152,1437,10,27,50,576,82463,0.01%,0.03%,0.05%,0.51%,0.01%,0.03%,0.05%,0.56%
chr17,44107282,44302733,284058,42,88,124,1982,25,50,64,1122,195451,0.01%,0.02%,0.03%,0.50%,0.01%,0.02%,0.03%,0.52%
chr9,111696461,111713024,54942,23,57,90,912,3,9,10,121,16563,0.01%,0.03%,0.04%,0.42%,0.01%,0.02%,0.03%,0.33%
chr9,7796490,7888380,90871,31,92,138,1335,12,37,50,510,91890,0.01%,0.03%,0.05%,0.46%,0.01%,0.03%,0.04%,0.46%
chr7,156786745,156803345,3110,23,58,92,1215,5,9,17,157,16600,0.01%,0.03%,0.04%,0.56%,0.01%,0.02%,0.05%,0.43%
chr22,50639408,50656045,83642,23,71,114,1158,5,12,17,187,16637,0.01%,0.03%,0.05%,0.53%,0.01%,0.03%,0.05%,0.51%
chr20,25388363,25433264,9837,26,44,59,795,6,13,20,259,44901,0.01%,0.02%,0.02%,0.32%,0.01%,0.02%,0.03%,0.40%
chr7,2552163,2568811,3955,23,60,101,1087,2,9,17,168,16648,0.01%,0.03%,0.05%,0.50%,0.01%,0.02%,0.05%,0.46%
chr6,152442819,152958936,23345,76,186,266,2998,57,140,210,2158,516117,0.01%,0.03%,0.04%,0.42%,0.01%,0.03%,0.04%,0.40%
chr7,1509913,1545489,26173,25,46,65,1008,5,8,14,218,35576,0.01%,0.02%,0.03%,0.43%,0.01%,0.01%,0.03%,0.39%
chr12,12867992,12875305,1027,22,59,87,700,2,4,10,74,7313,0.01%,0.03%,0.04%,0.34%,0.01%,0.01%,0.04%,0.27%
chr11,124932963,124959131,219855,24,62,102,919,7,19,34,236,26168,0.01%,0.03%,0.05%,0.41%,0.02%,0.04%,0.07%,0.51%
chr19,19144384,19170563,93436,24,48,69,620,2,4,5,102,26179,0.01%,0.02%,0.03%,0.27%,0.00%,0.01%,0.01%,0.22%
chr7,100547187,100611118,57876,28,69,94,850,11,18,27,201,63931,0.01%,0.03%,0.04%,0.32%,0.01%,0.02%,0.03%,0.24%
chr16,58328984,58440048,64785,33,80,103,1356,10,29,37,556,111064,0.01%,0.03%,0.03%,0.44%,0.01%,0.02%,0.03%,0.42%
chr4,120218207,120225600,401152,22,49,64,1083,3,4,6,97,7393,0.01%,0.02%,0.03%,0.52%,0.01%,0.01%,0.02%,0.35%
chr7,30978284,31032869,2692,27,54,87,972,9,14,19,324,54585,0.01%,0.02%,0.03%,0.38%,0.01%,0.02%,0.03%,0.43%
chr17,53029263,53046146,1353,23,54,80,773,4,8,10,144,16883,0.01%,0.02%,0.04%,0.36%,0.01%,0.02%,0.03%,0.39%
chr17,30178883,30186356,55352,22,40,55,762,0,2,1,71,7473,0.01%,0.02%,0.03%,0.37%,0.00%,0.01%,0.00%,0.26%
chr15,92396925,92715665,28232,55,126,194,2182,39,90,138,1409,318740,0.01%,0.02%,0.04%,0.42%,0.01%,0.03%,0.04%,0.42%
chr9,111934255,112083244,54566,37,91,150,1261,22,50,81,546,148989,0.01%,0.03%,0.04%,0.36%,0.01%,0.03%,0.05%,0.32%
chr4,57036361,57194791,57482,38,97,128,1458,23,58,76,739,158430,0.01%,0.03%,0.04%,0.41%,0.01%,0.03%,0.04%,0.41%
