ENTREZ,CHR,START,STOP,Gene_Size,r01_100kb_count,r03_100kb_count,r05_100kb_count,unpruned_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,unpruned_10kb_count,r01_100kb_ratio,r03_100kb_ratio,r05_100kb_ratio,unpruned_100kb_ratio,r01_10kb_ratio,r03_10kb_ratio,r05_10kb_ratio,unpruned_10kb_ratio
4332,chr1,158801107,158819296,18189,24,78,111,1134,1,4,8,123,0.13%,0.43%,0.61%,6.23%,0.01%,0.02%,0.04%,0.68%
57010,chr11,67219877,67226699,6822,9,15,19,442,1,3,4,64,0.13%,0.22%,0.28%,6.48%,0.01%,0.04%,0.06%,0.94%
6781,chr8,23699428,23712320,12892,17,48,69,874,3,6,9,106,0.13%,0.37%,0.54%,6.78%,0.02%,0.05%,0.07%,0.82%
2962,chr19,6379580,6393992,14412,19,41,67,1207,2,5,9,169,0.13%,0.28%,0.46%,8.37%,0.01%,0.03%,0.06%,1.17%
638,chr22,43506754,43525718,18964,25,69,116,1189,4,8,16,169,0.13%,0.36%,0.61%,6.27%,0.02%,0.04%,0.08%,0.89%
55664,chr9,4679559,4708398,28839,38,90,124,1267,5,16,20,219,0.13%,0.31%,0.43%,4.39%,0.02%,0.06%,0.07%,0.76%
22875,chr6,46097730,46114436,16706,22,50,65,657,3,6,7,129,0.13%,0.30%,0.39%,3.93%,0.02%,0.04%,0.04%,0.77%
144363,chr12,25348150,25362579,14429,19,48,83,848,3,9,10,107,0.13%,0.33%,0.58%,5.88%,0.02%,0.06%,0.07%,0.74%
285126,chr2,27498289,27504367,6078,8,12,17,456,1,1,2,54,0.13%,0.20%,0.28%,7.50%,0.02%,0.02%,0.03%,0.89%
1340,chr19,36139125,36149763,10638,14,37,61,649,2,7,10,100,0.13%,0.35%,0.57%,6.10%,0.02%,0.07%,0.09%,0.94%
100131439,chr17,72575504,72588422,12918,17,52,73,950,6,12,15,158,0.13%,0.40%,0.57%,7.35%,0.05%,0.09%,0.12%,1.22%
93134,chr19,9715356,9732075,16719,22,35,41,883,6,7,8,115,0.13%,0.21%,0.25%,5.28%,0.04%,0.04%,0.05%,0.69%
54811,chr19,9715356,9732075,16719,22,35,41,883,6,7,8,115,0.13%,0.21%,0.25%,5.28%,0.04%,0.04%,0.05%,0.69%
1674,chr2,220283099,220291461,8362,11,22,31,588,1,1,2,80,0.13%,0.26%,0.37%,7.03%,0.01%,0.01%,0.02%,0.96%
644139,chr17,10725792,10741762,15970,21,47,75,794,7,13,21,117,0.13%,0.29%,0.47%,4.97%,0.04%,0.08%,0.13%,0.73%
54059,chr21,47706251,47717665,11414,15,47,88,992,4,13,19,207,0.13%,0.41%,0.77%,8.69%,0.04%,0.11%,0.17%,1.81%
55110,chr12,10758612,10766222,7610,10,43,73,928,1,5,7,105,0.13%,0.57%,0.96%,12.19%,0.01%,0.07%,0.09%,1.38%
126306,chr19,2252251,2269758,17507,23,58,84,997,2,10,13,176,0.13%,0.33%,0.48%,5.69%,0.01%,0.06%,0.07%,1.01%
9880,chr12,57392618,57400230,7612,10,23,35,528,1,2,3,52,0.13%,0.30%,0.46%,6.94%,0.01%,0.03%,0.04%,0.68%
149643,chr1,213003483,213020991,17508,23,67,98,1226,3,9,14,232,0.13%,0.38%,0.56%,7.00%,0.02%,0.05%,0.08%,1.33%
6770,chr8,38001167,38008783,7616,10,13,17,412,3,5,5,50,0.13%,0.17%,0.22%,5.41%,0.04%,0.07%,0.07%,0.66%
9409,chr11,45931220,45940363,9143,12,24,34,485,4,5,7,73,0.13%,0.26%,0.37%,5.30%,0.04%,0.05%,0.08%,0.80%
7162,chr6,83072923,83080545,7622,10,19,31,733,2,4,5,75,0.13%,0.25%,0.41%,9.62%,0.03%,0.05%,0.07%,0.98%
90187,chr20,39988606,39995467,6861,9,18,31,602,0,0,1,72,0.13%,0.26%,0.45%,8.77%,0.00%,0.00%,0.01%,1.05%
6865,chr10,71163659,71176623,12964,17,51,86,989,2,6,11,136,0.13%,0.39%,0.66%,7.63%,0.02%,0.05%,0.08%,1.05%
79666,chr8,96146032,96168912,22880,30,59,103,876,8,10,17,140,0.13%,0.26%,0.45%,3.83%,0.03%,0.04%,0.07%,0.61%
55721,chr1,32671236,32674288,3052,4,15,21,365,0,1,3,45,0.13%,0.49%,0.69%,11.96%,0.00%,0.03%,0.10%,1.47%
201191,chr17,48187404,48207246,19842,26,62,97,758,5,11,16,117,0.13%,0.31%,0.49%,3.82%,0.03%,0.06%,0.08%,0.59%
1113,chr14,93389425,93401638,12213,16,44,79,826,6,14,26,142,0.13%,0.36%,0.65%,6.76%,0.05%,0.11%,0.21%,1.16%
5187,chr17,8043790,8059824,16034,21,53,77,865,4,6,7,126,0.13%,0.33%,0.48%,5.39%,0.02%,0.04%,0.04%,0.79%
729262,chr10,81462983,81474437,11454,15,36,75,956,2,3,5,82,0.13%,0.31%,0.65%,8.35%,0.02%,0.03%,0.04%,0.72%
1943,chr19,1286153,1301430,15277,20,52,81,807,7,12,15,102,0.13%,0.34%,0.53%,5.28%,0.05%,0.08%,0.10%,0.67%
392843,chr7,150888067,150902582,14515,19,47,64,713,4,13,16,114,0.13%,0.32%,0.44%,4.91%,0.03%,0.09%,0.11%,0.79%
257407,chr2,231902205,231914434,12229,16,38,58,796,3,7,12,111,0.13%,0.31%,0.47%,6.51%,0.02%,0.06%,0.10%,0.91%
220082,chr13,46276446,46288694,12248,16,46,65,617,2,6,11,114,0.13%,0.38%,0.53%,5.04%,0.02%,0.05%,0.09%,0.93%
78999,chr11,66624118,66627946,3828,5,19,25,375,1,2,2,39,0.13%,0.50%,0.65%,9.80%,0.03%,0.05%,0.05%,1.02%
342945,chr19,58838385,58853698,15313,20,36,60,797,2,4,5,103,0.13%,0.24%,0.39%,5.20%,0.01%,0.03%,0.03%,0.67%
25759,chr19,416583,460996,44413,58,150,246,1808,11,23,40,429,0.13%,0.34%,0.55%,4.07%,0.02%,0.05%,0.09%,0.97%
401409,chr7,140103843,140126050,22207,29,73,112,974,9,16,24,191,0.13%,0.33%,0.50%,4.39%,0.04%,0.07%,0.11%,0.86%
5702,chr11,47440320,47447993,7673,10,22,30,490,4,6,8,91,0.13%,0.29%,0.39%,6.39%,0.05%,0.08%,0.10%,1.19%
100130958,chr16,77233294,77247112,13818,18,41,93,1333,2,10,17,232,0.13%,0.30%,0.67%,9.65%,0.01%,0.07%,0.12%,1.68%
4210,chr16,3292028,3306627,14599,19,39,57,788,3,4,7,121,0.13%,0.27%,0.39%,5.40%,0.02%,0.03%,0.05%,0.83%
10423,chr16,29869678,29875057,5379,7,18,26,269,0,2,5,36,0.13%,0.33%,0.48%,5.00%,0.00%,0.04%,0.09%,0.67%
81285,chr11,4701401,4719084,17683,23,54,106,1260,5,12,28,196,0.13%,0.31%,0.60%,7.13%,0.03%,0.07%,0.16%,1.11%
93190,chr1,12806163,12823847,17684,23,49,77,1345,2,6,8,154,0.13%,0.28%,0.44%,7.61%,0.01%,0.03%,0.05%,0.87%
342132,chr15,90895477,90909324,13847,18,37,71,909,5,9,17,206,0.13%,0.27%,0.51%,6.56%,0.04%,0.06%,0.12%,1.49%
4146,chr1,31184124,31196434,12310,16,53,88,879,1,6,12,149,0.13%,0.43%,0.71%,7.14%,0.01%,0.05%,0.10%,1.21%
11159,chr22,51205929,51222091,16162,21,41,73,444,2,6,12,106,0.13%,0.25%,0.45%,2.75%,0.01%,0.04%,0.07%,0.66%
11158,chr22,51205929,51222091,16162,21,41,73,444,2,6,12,106,0.13%,0.25%,0.45%,2.75%,0.01%,0.04%,0.07%,0.66%
57167,chr20,50400581,50419059,18478,24,66,100,1304,2,5,6,196,0.13%,0.36%,0.54%,7.06%,0.01%,0.03%,0.03%,1.06%
53635,chr19,50353992,50364001,10009,13,31,59,693,1,4,6,94,0.13%,0.31%,0.59%,6.92%,0.01%,0.04%,0.06%,0.94%
89765,chr21,43892596,43916464,23868,31,80,116,1140,6,14,20,153,0.13%,0.34%,0.49%,4.78%,0.03%,0.06%,0.08%,0.64%
23764,chr22,38597889,38612518,14629,19,42,57,801,2,3,5,126,0.13%,0.29%,0.39%,5.48%,0.01%,0.02%,0.03%,0.86%
387695,chr10,85933494,85945050,11556,15,46,79,797,3,9,15,105,0.13%,0.40%,0.68%,6.90%,0.03%,0.08%,0.13%,0.91%
54101,chr21,43159529,43187266,27737,36,124,217,1345,4,13,17,245,0.13%,0.45%,0.78%,4.85%,0.01%,0.05%,0.06%,0.88%
113220,chr9,116848406,116861507,13101,17,66,113,844,3,10,20,146,0.13%,0.50%,0.86%,6.44%,0.02%,0.08%,0.15%,1.11%
388551,chr19,45202421,45213986,11565,15,42,66,787,6,15,25,153,0.13%,0.36%,0.57%,6.81%,0.05%,0.13%,0.22%,1.32%
54860,chr11,60260251,60274903,14652,19,44,51,923,8,10,11,202,0.13%,0.30%,0.35%,6.30%,0.05%,0.07%,0.08%,1.38%
6199,chr11,67195931,67202872,6941,9,14,18,414,1,1,2,53,0.13%,0.20%,0.26%,5.96%,0.01%,0.01%,0.03%,0.76%
64834,chr1,43829068,43833696,4628,6,17,27,428,0,4,4,49,0.13%,0.37%,0.58%,9.25%,0.00%,0.09%,0.09%,1.06%
80324,chr12,132413745,132428406,14661,19,35,54,649,4,5,8,104,0.13%,0.24%,0.37%,4.43%,0.03%,0.03%,0.05%,0.71%
29126,chr9,5450503,5470566,20063,26,64,92,879,7,16,24,155,0.13%,0.32%,0.46%,4.38%,0.03%,0.08%,0.12%,0.77%
84942,chr15,85185999,85197574,11575,15,39,57,626,3,7,10,104,0.13%,0.34%,0.49%,5.41%,0.03%,0.06%,0.09%,0.90%
10452,chr19,45393826,45406946,13120,17,49,73,889,4,9,14,130,0.13%,0.37%,0.56%,6.78%,0.03%,0.07%,0.11%,0.99%
10347,chr19,1040102,1065571,25469,33,87,150,1362,6,23,43,260,0.13%,0.34%,0.59%,5.35%,0.02%,0.09%,0.17%,1.02%
80119,chr15,65107831,65117867,10036,13,32,40,744,2,7,9,132,0.13%,0.32%,0.40%,7.41%,0.02%,0.07%,0.09%,1.32%
79777,chr17,43209967,43221548,11581,15,48,79,686,1,8,11,92,0.13%,0.41%,0.68%,5.92%,0.01%,0.07%,0.09%,0.79%
27034,chr11,134123389,134135749,12360,16,45,66,661,2,1,3,90,0.13%,0.36%,0.53%,5.35%,0.02%,0.01%,0.02%,0.73%
1376,chr1,53662101,53679869,17768,23,56,97,838,2,4,5,88,0.13%,0.32%,0.55%,4.72%,0.01%,0.02%,0.03%,0.50%
84823,chr19,2427636,2456994,29358,38,102,153,1385,2,16,22,248,0.13%,0.35%,0.52%,4.72%,0.01%,0.05%,0.07%,0.84%
2189,chr9,35073832,35080013,6181,8,17,35,498,0,1,3,52,0.13%,0.28%,0.57%,8.06%,0.00%,0.02%,0.05%,0.84%
79369,chr12,122688090,122693499,5409,7,25,42,678,1,3,3,74,0.13%,0.46%,0.78%,12.53%,0.02%,0.06%,0.06%,1.37%
515,chr1,111991486,112005395,13909,18,50,70,850,3,4,5,88,0.13%,0.36%,0.50%,6.11%,0.02%,0.03%,0.04%,0.63%
78987,chr3,9975506,9987097,11591,15,42,55,714,6,13,15,105,0.13%,0.36%,0.47%,6.16%,0.05%,0.11%,0.13%,0.91%
29801,chr22,20116979,20135530,18551,24,71,103,942,5,8,16,168,0.13%,0.38%,0.56%,5.08%,0.03%,0.04%,0.09%,0.91%
8529,chr19,15988833,16008930,20097,26,76,119,1309,4,16,25,258,0.13%,0.38%,0.59%,6.51%,0.02%,0.08%,0.12%,1.28%
7533,chr22,32340447,32353590,13143,17,42,57,811,4,10,12,140,0.13%,0.32%,0.43%,6.17%,0.03%,0.08%,0.09%,1.07%
132430,chr4,135117488,135122903,5415,7,34,45,566,1,6,7,95,0.13%,0.63%,0.83%,10.45%,0.02%,0.11%,0.13%,1.75%
10598,chr14,77924213,77935817,11604,15,50,96,791,2,8,13,120,0.13%,0.43%,0.83%,6.82%,0.02%,0.07%,0.11%,1.03%
79441,chr4,2229191,2243891,14700,19,40,64,784,2,3,4,111,0.13%,0.27%,0.44%,5.33%,0.01%,0.02%,0.03%,0.76%
2662,chr10,48425815,48438976,13161,17,45,75,634,2,6,11,109,0.13%,0.34%,0.57%,4.82%,0.02%,0.05%,0.08%,0.83%
57804,chr11,67118248,67124443,6195,8,12,17,415,0,1,1,36,0.13%,0.19%,0.27%,6.70%,0.00%,0.02%,0.02%,0.58%
389549,chr7,121941448,121950745,9297,12,41,58,663,5,10,16,87,0.13%,0.44%,0.62%,7.13%,0.05%,0.11%,0.17%,0.94%
1153,chr19,1259384,1274879,15495,20,56,87,822,6,9,10,88,0.13%,0.36%,0.56%,5.30%,0.04%,0.06%,0.06%,0.57%
79574,chr1,110292702,110306649,13947,18,51,76,784,3,11,15,102,0.13%,0.37%,0.54%,5.62%,0.02%,0.08%,0.11%,0.73%
128859,chr20,31619454,31631853,12399,16,48,58,875,3,10,12,123,0.13%,0.39%,0.47%,7.06%,0.02%,0.08%,0.10%,0.99%
79036,chr19,18668572,18680197,11625,15,35,47,752,1,2,5,102,0.13%,0.30%,0.40%,6.47%,0.01%,0.02%,0.04%,0.88%
79070,chr13,103436631,103451357,14726,19,50,81,693,0,3,8,102,0.13%,0.34%,0.55%,4.71%,0.00%,0.02%,0.05%,0.69%
89777,chr18,61223393,61234244,10851,14,39,48,766,4,5,6,109,0.13%,0.36%,0.44%,7.06%,0.04%,0.05%,0.06%,1.00%
65999,chr7,150019728,150035239,15511,20,33,43,916,2,2,2,131,0.13%,0.21%,0.28%,5.91%,0.01%,0.01%,0.01%,0.84%
10695,chr6,42896938,42907025,10087,13,24,33,689,3,4,8,93,0.13%,0.24%,0.33%,6.83%,0.03%,0.04%,0.08%,0.92%
23466,chr22,39257455,39268319,10864,14,39,64,737,1,3,7,70,0.13%,0.36%,0.59%,6.78%,0.01%,0.03%,0.06%,0.64%
54550,chr16,84002237,84036381,34144,44,109,183,1800,10,23,38,476,0.13%,0.32%,0.54%,5.27%,0.03%,0.07%,0.11%,1.39%
1120,chr22,51017378,51039884,22506,29,81,129,1087,6,14,16,240,0.13%,0.36%,0.57%,4.83%,0.03%,0.06%,0.07%,1.07%
3718,chr19,17935589,17958880,23291,30,69,105,913,7,22,29,179,0.13%,0.30%,0.45%,3.92%,0.03%,0.09%,0.12%,0.77%
6626,chr19,41256542,41271294,14752,19,45,73,861,2,4,5,110,0.13%,0.31%,0.49%,5.84%,0.01%,0.03%,0.03%,0.75%
59283,chr19,54466294,54493469,27175,35,95,129,1002,6,15,23,179,0.13%,0.35%,0.47%,3.69%,0.02%,0.06%,0.08%,0.66%
3888,chr12,52787715,52800139,12424,16,49,80,1163,2,8,10,181,0.13%,0.39%,0.64%,9.36%,0.02%,0.06%,0.08%,1.46%
55889,chr15,72947079,72958735,11656,15,22,32,368,6,6,6,28,0.13%,0.19%,0.27%,3.16%,0.05%,0.05%,0.05%,0.24%
399947,chr11,109292846,109299840,6994,9,16,22,485,1,2,2,31,0.13%,0.23%,0.31%,6.93%,0.01%,0.03%,0.03%,0.44%
8288,chr17,56270098,56282535,12437,16,33,50,591,5,10,11,90,0.13%,0.27%,0.40%,4.75%,0.04%,0.08%,0.09%,0.72%
7431,chr10,17270258,17279592,9334,12,36,43,901,0,3,4,80,0.13%,0.39%,0.46%,9.65%,0.00%,0.03%,0.04%,0.86%
283337,chr12,53574484,53584596,10112,13,24,38,575,4,6,8,78,0.13%,0.24%,0.38%,5.69%,0.04%,0.06%,0.08%,0.77%
54465,chr2,67624451,67637677,13226,17,55,87,830,0,6,9,105,0.13%,0.42%,0.66%,6.28%,0.00%,0.05%,0.07%,0.79%
58986,chr16,420773,437113,16340,21,57,89,1030,5,15,26,274,0.13%,0.35%,0.54%,6.30%,0.03%,0.09%,0.16%,1.68%
113802,chr1,109190912,109204148,13236,17,34,40,486,1,6,7,86,0.13%,0.26%,0.30%,3.67%,0.01%,0.05%,0.05%,0.65%
5886,chr19,13056669,13064456,7787,10,26,39,485,3,5,7,42,0.13%,0.33%,0.50%,6.23%,0.04%,0.06%,0.09%,0.54%
4760,chr2,182537815,182545603,7788,10,21,31,744,0,0,0,77,0.13%,0.27%,0.40%,9.55%,0.00%,0.00%,0.00%,0.99%
836,chr4,185548850,185570663,21813,28,49,89,1000,5,7,13,136,0.13%,0.22%,0.41%,4.58%,0.02%,0.03%,0.06%,0.62%
162966,chr19,53267448,53290044,22596,29,93,158,1504,8,29,45,319,0.13%,0.41%,0.70%,6.66%,0.04%,0.13%,0.20%,1.41%
56851,chr15,34376218,34394149,17931,23,38,52,766,1,2,3,97,0.13%,0.21%,0.29%,4.27%,0.01%,0.01%,0.02%,0.54%
6300,chr22,50683879,50700254,16375,21,59,93,1032,3,6,14,163,0.13%,0.36%,0.57%,6.30%,0.02%,0.04%,0.09%,1.00%
10256,chr1,26503894,26516377,12483,16,41,58,719,2,3,12,119,0.13%,0.33%,0.46%,5.76%,0.02%,0.02%,0.10%,0.95%
161514,chr15,74165949,74181555,15606,20,52,82,893,1,5,9,116,0.13%,0.33%,0.53%,5.72%,0.01%,0.03%,0.06%,0.74%
730249,chr13,77522632,77532777,10145,13,24,51,763,5,5,10,104,0.13%,0.24%,0.50%,7.52%,0.05%,0.05%,0.10%,1.03%
2217,chr19,50010073,50029590,19517,25,42,60,772,2,5,8,128,0.13%,0.22%,0.31%,3.96%,0.01%,0.03%,0.04%,0.66%
10092,chr1,183592401,183604892,12491,16,36,41,873,3,8,10,229,0.13%,0.29%,0.33%,6.99%,0.02%,0.06%,0.08%,1.83%
727830,chr9,40700291,40706537,6246,8,25,45,430,1,5,8,23,0.13%,0.40%,0.72%,6.88%,0.02%,0.08%,0.13%,0.37%
388567,chr19,57946697,57956853,10156,13,47,69,849,5,11,18,107,0.13%,0.46%,0.68%,8.36%,0.05%,0.11%,0.18%,1.05%
8558,chr16,89747145,89762772,15627,20,85,144,1336,3,11,18,200,0.13%,0.54%,0.92%,8.55%,0.02%,0.07%,0.12%,1.28%
10568,chr4,25656923,25680370,23447,30,76,123,1005,5,12,19,127,0.13%,0.32%,0.52%,4.29%,0.02%,0.05%,0.08%,0.54%
115572,chr1,27331511,27339327,7816,10,22,32,454,0,1,3,34,0.13%,0.28%,0.41%,5.81%,0.00%,0.01%,0.04%,0.44%
26022,chr17,31254928,31272124,17196,22,54,77,697,3,9,13,132,0.13%,0.31%,0.45%,4.05%,0.02%,0.05%,0.08%,0.77%
399473,chr19,38879061,38886881,7820,10,23,37,764,2,3,5,112,0.13%,0.29%,0.47%,9.77%,0.03%,0.04%,0.06%,1.43%
4543,chr4,187454809,187476721,21912,28,81,133,1182,5,6,13,187,0.13%,0.37%,0.61%,5.39%,0.02%,0.03%,0.06%,0.85%
58510,chr19,36290890,36304201,13311,17,38,58,653,5,11,18,121,0.13%,0.29%,0.44%,4.91%,0.04%,0.08%,0.14%,0.91%
55101,chr19,41937223,41946622,9399,12,28,36,624,2,6,7,82,0.13%,0.30%,0.38%,6.64%,0.02%,0.06%,0.07%,0.87%
28984,chr13,42031695,42045018,13323,17,56,90,902,3,10,14,127,0.13%,0.42%,0.68%,6.77%,0.02%,0.08%,0.11%,0.95%
56670,chr3,151591431,151602405,10974,14,37,65,837,4,6,9,102,0.13%,0.34%,0.59%,7.63%,0.04%,0.05%,0.08%,0.93%
146330,chr16,742500,755829,13329,17,50,71,1041,2,6,7,109,0.13%,0.38%,0.53%,7.81%,0.02%,0.05%,0.05%,0.82%
729991,chr19,19287712,19303400,15688,20,37,59,672,1,7,10,142,0.13%,0.24%,0.38%,4.28%,0.01%,0.04%,0.06%,0.91%
3820,chr12,9747147,9760482,13335,17,32,47,680,4,11,12,173,0.13%,0.24%,0.35%,5.10%,0.03%,0.08%,0.09%,1.30%
55113,chr1,28285973,28294607,8634,11,27,40,707,2,3,6,82,0.13%,0.31%,0.46%,8.19%,0.02%,0.03%,0.07%,0.95%
27237,chr1,3370990,3397677,26687,34,81,122,1077,5,7,10,193,0.13%,0.30%,0.46%,4.04%,0.02%,0.03%,0.04%,0.72%
728489,chr9,139256355,139268133,11778,15,34,53,764,4,6,10,155,0.13%,0.29%,0.45%,6.49%,0.03%,0.05%,0.08%,1.32%
64170,chr9,139256355,139268133,11778,15,34,53,764,4,6,10,155,0.13%,0.29%,0.45%,6.49%,0.03%,0.05%,0.08%,1.32%
57763,chr5,72848160,72861511,13351,17,37,52,703,2,7,8,115,0.13%,0.28%,0.39%,5.27%,0.01%,0.05%,0.06%,0.86%
2152,chr1,94994781,95007356,12575,16,40,64,625,1,2,3,62,0.13%,0.32%,0.51%,4.97%,0.01%,0.02%,0.02%,0.49%
441376,chr8,117950438,117956726,6288,8,21,32,562,2,7,11,70,0.13%,0.33%,0.51%,8.94%,0.03%,0.11%,0.17%,1.11%
10936,chr2,54080050,54087126,7076,9,25,49,691,1,3,4,79,0.13%,0.35%,0.69%,9.77%,0.01%,0.04%,0.06%,1.12%
339344,chr19,46393278,46405862,12584,16,51,79,871,2,8,12,173,0.13%,0.41%,0.63%,6.92%,0.02%,0.06%,0.10%,1.37%
3855,chr12,52626304,52645970,19666,25,70,123,1045,5,13,21,152,0.13%,0.36%,0.63%,5.31%,0.03%,0.07%,0.11%,0.77%
983,chr10,62538089,62554610,16521,21,43,63,897,3,9,14,134,0.13%,0.26%,0.38%,5.43%,0.02%,0.05%,0.08%,0.81%
975,chr11,2397407,2418649,21242,27,51,83,1099,4,8,12,210,0.13%,0.24%,0.39%,5.17%,0.02%,0.04%,0.06%,0.99%
9744,chr17,7239848,7254797,14949,19,50,78,632,9,16,23,102,0.13%,0.33%,0.52%,4.23%,0.06%,0.11%,0.15%,0.68%
4097,chr17,79876146,79885590,9444,12,29,40,578,0,2,3,35,0.13%,0.31%,0.42%,6.12%,0.00%,0.02%,0.03%,0.37%
343413,chr1,159770301,159786041,15740,20,52,73,793,3,11,12,144,0.13%,0.33%,0.46%,5.04%,0.02%,0.07%,0.08%,0.91%
2109,chr19,51848423,51869672,21249,27,51,77,869,4,10,16,190,0.13%,0.24%,0.36%,4.09%,0.02%,0.05%,0.08%,0.89%
6895,chr12,53894705,53900215,5510,7,20,23,381,1,1,1,19,0.13%,0.36%,0.42%,6.91%,0.02%,0.02%,0.02%,0.34%
6804,chr7,73113536,73134002,20466,26,52,75,703,9,16,21,115,0.13%,0.25%,0.37%,3.43%,0.04%,0.08%,0.10%,0.56%
54529,chr2,190526111,190535557,9446,12,16,31,542,1,2,3,83,0.13%,0.17%,0.33%,5.74%,0.01%,0.02%,0.03%,0.88%
400950,chr2,42162508,42181406,18898,24,66,89,1086,0,5,10,144,0.13%,0.35%,0.47%,5.75%,0.00%,0.03%,0.05%,0.76%
124976,chr17,4402133,4442330,40197,51,109,173,1342,21,37,55,284,0.13%,0.27%,0.43%,3.34%,0.05%,0.09%,0.14%,0.71%
3662,chr6,391739,411447,19708,25,53,88,986,3,6,13,159,0.13%,0.27%,0.45%,5.00%,0.02%,0.03%,0.07%,0.81%
54753,chr7,6655248,6663921,8673,11,31,48,848,1,5,8,117,0.13%,0.36%,0.55%,9.78%,0.01%,0.06%,0.09%,1.35%
5680,chr19,43225790,43244721,18931,24,33,44,982,4,7,7,195,0.13%,0.17%,0.23%,5.19%,0.02%,0.04%,0.04%,1.03%
5671,chr19,43225790,43244721,18931,24,33,44,982,4,7,7,195,0.13%,0.17%,0.23%,5.19%,0.02%,0.04%,0.04%,1.03%
400935,chr22,50432942,50451088,18146,23,61,110,921,2,6,17,168,0.13%,0.34%,0.61%,5.08%,0.01%,0.03%,0.09%,0.93%
25828,chr22,36863083,36878077,14994,19,44,68,1106,3,8,10,202,0.13%,0.29%,0.45%,7.38%,0.02%,0.05%,0.07%,1.35%
23474,chr19,44010871,44031396,20525,26,40,65,816,6,9,16,140,0.13%,0.19%,0.32%,3.98%,0.03%,0.04%,0.08%,0.68%
8900,chr13,37005967,37017019,11052,14,34,60,714,2,4,8,85,0.13%,0.31%,0.54%,6.46%,0.02%,0.04%,0.07%,0.77%
6726,chr1,225965531,225978168,12637,16,52,81,901,1,7,15,143,0.13%,0.41%,0.64%,7.13%,0.01%,0.06%,0.12%,1.13%
254263,chr11,66045661,66052772,7111,9,28,36,443,0,4,5,52,0.13%,0.39%,0.51%,6.23%,0.00%,0.06%,0.07%,0.73%
284131,chr17,78388965,78411886,22921,29,57,107,814,9,20,29,194,0.13%,0.25%,0.47%,3.55%,0.04%,0.09%,0.13%,0.85%
64981,chr19,17403418,17417652,14234,18,64,103,1009,3,9,17,170,0.13%,0.45%,0.72%,7.09%,0.02%,0.06%,0.12%,1.19%
84436,chr19,52901102,52921665,20563,26,67,109,1225,9,17,22,195,0.13%,0.33%,0.53%,5.96%,0.04%,0.08%,0.11%,0.95%
554313,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
121504,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8370,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8368,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8366,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8367,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8365,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8364,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8362,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8363,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8361,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8360,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8359,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
8294,chr1,149804221,149811339,7118,9,20,30,341,1,2,2,14,0.13%,0.28%,0.42%,4.79%,0.01%,0.03%,0.03%,0.20%
9235,chr16,3115298,3131908,16610,21,40,62,782,11,15,23,182,0.13%,0.24%,0.37%,4.71%,0.07%,0.09%,0.14%,1.10%
340204,chr6,35748794,35761452,12658,16,32,45,712,5,9,12,130,0.13%,0.25%,0.36%,5.62%,0.04%,0.07%,0.09%,1.03%
875,chr21,44473301,44497053,23752,30,73,119,1111,7,19,32,246,0.13%,0.31%,0.50%,4.68%,0.03%,0.08%,0.13%,1.04%
5104,chr14,95027779,95059457,31678,40,118,185,1330,7,23,38,336,0.13%,0.37%,0.58%,4.20%,0.02%,0.07%,0.12%,1.06%
283152,chr11,119060347,119067479,7132,9,24,36,427,0,1,3,41,0.13%,0.34%,0.50%,5.99%,0.00%,0.01%,0.04%,0.57%
1621,chr9,136501482,136524466,22984,29,76,123,1093,2,11,21,252,0.13%,0.33%,0.54%,4.76%,0.01%,0.05%,0.09%,1.10%
