CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb
chr1,19166093,19186176,80834,31,84,147,9,18,31,20083,0.15%,0.42%,0.73%,0.04%,0.09%,0.15%
chr21,47581062,47604390,84221,31,88,151,8,23,36,23328,0.13%,0.38%,0.65%,0.03%,0.10%,0.15%
chr1,62660503,62678000,54596,16,56,93,5,16,27,17497,0.09%,0.32%,0.53%,0.03%,0.09%,0.15%
chr1,109632425,109639556,56900,19,46,66,2,7,11,7131,0.27%,0.65%,0.93%,0.03%,0.10%,0.15%
chr1,2323267,2336883,11079,33,79,139,5,14,21,13616,0.24%,0.58%,1.02%,0.04%,0.10%,0.15%
chr16,765115,769655,79006,17,54,75,2,5,7,4540,0.37%,1.19%,1.65%,0.04%,0.11%,0.15%
chr7,99686577,99689823,10980,7,24,38,1,4,5,3246,0.22%,0.74%,1.17%,0.03%,0.12%,0.15%
chr3,48506445,48509044,84126,11,18,22,2,3,4,2599,0.42%,0.69%,0.85%,0.08%,0.12%,0.15%
chr17,7239848,7254797,9744,19,50,78,9,16,23,14949,0.13%,0.33%,0.52%,0.06%,0.11%,0.15%
chr2,27293340,27294641,100128731,6,14,20,1,2,2,1301,0.46%,1.08%,1.54%,0.08%,0.15%,0.15%
chr15,32684983,32695396,653125,15,39,63,4,6,16,10413,0.14%,0.37%,0.61%,0.04%,0.06%,0.15%
chr15,32684983,32695396,653073,15,39,63,4,6,16,10413,0.14%,0.37%,0.61%,0.04%,0.06%,0.15%
chr5,1225470,1246304,348932,29,84,146,6,19,32,20834,0.14%,0.40%,0.70%,0.03%,0.09%,0.15%
chr8,144686083,144691943,65263,15,38,82,1,5,9,5860,0.26%,0.65%,1.40%,0.02%,0.09%,0.15%
chr15,30427352,30437770,653073,15,39,63,4,6,16,10418,0.14%,0.37%,0.60%,0.04%,0.06%,0.15%
chr13,20796110,20806534,10804,31,78,123,5,14,16,10424,0.30%,0.75%,1.18%,0.05%,0.13%,0.15%
chr9,131483148,131486406,84885,7,19,28,1,2,5,3258,0.21%,0.58%,0.86%,0.03%,0.06%,0.15%
chr17,39114669,39123144,390792,25,58,104,1,3,13,8475,0.29%,0.68%,1.23%,0.01%,0.04%,0.15%
chr19,46522411,46526323,8993,15,40,64,0,2,6,3912,0.38%,1.02%,1.64%,0.00%,0.05%,0.15%
chr15,30896329,30906764,728498,15,39,63,4,6,16,10435,0.14%,0.37%,0.60%,0.04%,0.06%,0.15%
chr19,43428286,43441330,5676,27,64,94,6,12,20,13044,0.21%,0.49%,0.72%,0.05%,0.09%,0.15%
chr5,81569177,81574396,6228,6,19,26,2,5,8,5219,0.11%,0.36%,0.50%,0.04%,0.10%,0.15%
chr17,48838390,48844918,55018,12,31,44,2,7,10,6528,0.18%,0.47%,0.67%,0.03%,0.11%,0.15%
chr1,19638820,19655794,54896,19,46,72,5,15,26,16974,0.11%,0.27%,0.42%,0.03%,0.09%,0.15%
chr9,35099888,35103154,30968,8,15,33,1,1,5,3266,0.24%,0.46%,1.01%,0.03%,0.03%,0.15%
chr7,129142320,129152773,100287482,16,53,72,5,13,16,10453,0.15%,0.51%,0.69%,0.05%,0.12%,0.15%
chr19,10203014,10213472,83854,24,63,99,6,14,16,10458,0.23%,0.60%,0.95%,0.06%,0.13%,0.15%
chr21,45748827,45759285,755,18,61,101,2,12,16,10458,0.17%,0.58%,0.97%,0.02%,0.11%,0.15%
chr19,49949555,49956754,55011,24,42,62,4,7,11,7199,0.33%,0.58%,0.86%,0.06%,0.10%,0.15%
chr4,189012427,189030757,205860,36,114,200,6,15,28,18330,0.20%,0.62%,1.09%,0.03%,0.08%,0.15%
chr9,116848406,116861507,113220,17,66,113,3,10,20,13101,0.13%,0.50%,0.86%,0.02%,0.08%,0.15%
chr19,51364824,51383823,3817,39,103,156,10,18,29,18999,0.21%,0.54%,0.82%,0.05%,0.09%,0.15%
chr8,21995533,21999464,80346,26,61,97,1,5,6,3931,0.66%,1.55%,2.47%,0.03%,0.13%,0.15%
chr12,48147699,48176536,55652,22,70,125,7,20,44,28837,0.08%,0.24%,0.43%,0.02%,0.07%,0.15%
chr17,62293,236045,9501,61,186,320,51,155,265,173752,0.04%,0.11%,0.18%,0.03%,0.09%,0.15%
chr17,77751931,77761782,84733,15,51,83,3,10,15,9851,0.15%,0.52%,0.84%,0.03%,0.10%,0.15%
chr20,207899,210527,140881,22,50,77,0,1,4,2628,0.84%,1.90%,2.93%,0.00%,0.04%,0.15%
chr15,30695943,30706463,101059918,15,39,63,4,6,16,10520,0.14%,0.37%,0.60%,0.04%,0.06%,0.15%
chr15,32885657,32896179,643699,15,39,63,4,6,16,10522,0.14%,0.37%,0.60%,0.04%,0.06%,0.15%
chr19,5558178,5568045,257000,16,52,89,2,9,15,9867,0.16%,0.53%,0.90%,0.02%,0.09%,0.15%
chr1,40089825,40105617,26508,18,65,103,4,13,24,15792,0.11%,0.41%,0.65%,0.03%,0.08%,0.15%
chr15,32737307,32747835,728047,15,39,63,4,6,16,10528,0.14%,0.37%,0.60%,0.04%,0.06%,0.15%
chr16,1543345,1560458,9894,24,58,98,5,13,26,17113,0.14%,0.34%,0.57%,0.03%,0.08%,0.15%
chr7,536895,559933,5154,43,106,166,8,23,35,23038,0.19%,0.46%,0.72%,0.03%,0.10%,0.15%
chr17,7184986,7191576,6517,20,49,75,3,8,10,6590,0.30%,0.74%,1.14%,0.05%,0.12%,0.15%
chr15,30375158,30385702,653073,15,39,63,4,6,16,10544,0.14%,0.37%,0.60%,0.04%,0.06%,0.15%
chr9,125670335,125675609,10773,7,22,31,4,7,8,5274,0.13%,0.42%,0.59%,0.08%,0.13%,0.15%
chr7,128412545,128415844,611,13,38,65,1,3,5,3299,0.39%,1.15%,1.97%,0.03%,0.09%,0.15%
chr10,5680830,5708558,79754,32,80,138,9,25,42,27728,0.12%,0.29%,0.50%,0.03%,0.09%,0.15%
chr14,24540046,24547309,9362,17,42,79,4,7,11,7263,0.23%,0.58%,1.09%,0.06%,0.10%,0.15%
chr3,159706537,159713806,3592,17,45,66,2,8,11,7269,0.23%,0.62%,0.91%,0.03%,0.11%,0.15%
chr19,57862675,57871266,57343,22,58,93,2,8,13,8591,0.26%,0.68%,1.08%,0.02%,0.09%,0.15%
chr2,239067623,239077541,151176,22,63,114,4,9,15,9918,0.22%,0.64%,1.15%,0.04%,0.09%,0.15%
chr12,76738254,76742222,79738,7,19,33,1,3,6,3968,0.18%,0.48%,0.83%,0.03%,0.08%,0.15%
chr1,101702444,101707074,1901,17,63,100,3,5,7,4630,0.37%,1.36%,2.16%,0.06%,0.11%,0.15%
chr16,2521500,2524146,4917,9,16,25,1,2,4,2646,0.34%,0.60%,0.94%,0.04%,0.08%,0.15%
chr2,119913819,119916465,165257,10,34,54,0,1,4,2646,0.38%,1.28%,2.04%,0.00%,0.04%,0.15%
chr2,99797542,99814089,51263,11,36,52,5,15,25,16547,0.07%,0.22%,0.31%,0.03%,0.09%,0.15%
chr20,18118517,18123813,100303755,24,59,108,3,4,8,5296,0.45%,1.11%,2.04%,0.06%,0.08%,0.15%
chr20,52769988,52790512,1591,25,78,118,3,17,31,20524,0.12%,0.38%,0.57%,0.01%,0.08%,0.15%
chr8,143991975,143999259,1585,28,50,62,2,7,11,7284,0.38%,0.69%,0.85%,0.03%,0.10%,0.15%
chr1,202116141,202130716,5778,26,67,96,7,17,22,14575,0.18%,0.46%,0.66%,0.05%,0.12%,0.15%
chr10,99079022,99081672,10023,17,37,47,1,3,4,2650,0.64%,1.40%,1.77%,0.04%,0.11%,0.15%
chr20,60758085,60778624,26164,22,55,78,6,21,31,20539,0.11%,0.27%,0.38%,0.03%,0.10%,0.15%
chr14,25100160,25103473,3002,17,37,58,1,3,5,3313,0.51%,1.12%,1.75%,0.03%,0.09%,0.15%
chr19,49559050,49568333,94027,14,45,76,2,8,14,9283,0.15%,0.48%,0.82%,0.02%,0.09%,0.15%
chr10,88718375,88723017,6623,20,42,71,1,4,7,4642,0.43%,0.90%,1.53%,0.02%,0.09%,0.15%
chr17,7491496,7493488,6665,14,44,77,0,2,3,1992,0.70%,2.21%,3.87%,0.00%,0.10%,0.15%
chr1,59246465,59249785,3725,12,31,52,1,3,5,3320,0.36%,0.93%,1.57%,0.03%,0.09%,0.15%
chr2,85825671,85830319,129303,16,42,55,1,3,7,4648,0.34%,0.90%,1.18%,0.02%,0.06%,0.15%
chr20,1290619,1309883,27111,38,80,125,7,17,29,19264,0.20%,0.42%,0.65%,0.04%,0.09%,0.15%
chr16,84599200,84651683,23406,41,132,202,18,51,79,52483,0.08%,0.25%,0.38%,0.03%,0.10%,0.15%
chr7,102096685,102105323,54784,12,35,50,2,12,13,8638,0.14%,0.41%,0.58%,0.02%,0.14%,0.15%
chr11,36295051,36310999,29099,24,47,79,9,13,24,15948,0.15%,0.29%,0.50%,0.06%,0.08%,0.15%
chr11,61957688,61961011,10648,14,37,54,1,3,5,3323,0.42%,1.11%,1.63%,0.03%,0.09%,0.15%
chr21,44513066,44527697,7307,32,70,118,6,15,22,14631,0.22%,0.48%,0.81%,0.04%,0.10%,0.15%
chr20,60985293,61002589,140893,36,88,122,5,18,26,17296,0.21%,0.51%,0.71%,0.03%,0.10%,0.15%
chr1,231154704,231175992,375061,13,49,88,3,18,32,21288,0.06%,0.23%,0.41%,0.01%,0.08%,0.15%
chr1,152680636,152681967,199834,15,29,39,2,2,2,1331,1.13%,2.18%,2.93%,0.15%,0.15%,0.15%
chr20,44517264,44519926,140825,20,35,52,2,3,4,2662,0.75%,1.31%,1.95%,0.08%,0.11%,0.15%
chr16,2833954,2837949,260429,18,41,62,1,5,6,3995,0.45%,1.03%,1.55%,0.03%,0.13%,0.15%
chr8,128747680,128753674,4609,22,52,73,3,8,9,5994,0.37%,0.87%,1.22%,0.05%,0.13%,0.15%
chr4,164265091,164273086,4889,12,32,48,3,8,12,7995,0.15%,0.40%,0.60%,0.04%,0.10%,0.15%
chr12,10365057,10375727,23710,15,37,70,3,6,16,10670,0.14%,0.35%,0.66%,0.03%,0.06%,0.15%
chr2,233390703,233401377,1144,19,59,100,2,10,16,10674,0.18%,0.55%,0.94%,0.02%,0.09%,0.15%
chr6,117586721,117594728,245806,21,54,85,1,7,12,8007,0.26%,0.67%,1.06%,0.01%,0.09%,0.15%
chr1,156213206,156217881,79957,11,30,50,1,4,7,4675,0.24%,0.64%,1.07%,0.02%,0.09%,0.15%
chr19,1065922,1086627,23526,32,91,154,6,19,31,20705,0.15%,0.44%,0.74%,0.03%,0.09%,0.15%
chr3,196433148,196439164,84984,26,82,129,2,6,9,6016,0.43%,1.36%,2.14%,0.03%,0.10%,0.15%
chr2,207024309,207027652,1933,9,28,46,2,3,5,3343,0.27%,0.84%,1.38%,0.06%,0.09%,0.15%
chr19,4838353,4867780,10226,33,95,150,10,26,44,29427,0.11%,0.32%,0.51%,0.03%,0.09%,0.15%
chr19,4229495,4237528,10148,24,67,98,3,10,12,8033,0.30%,0.83%,1.22%,0.04%,0.12%,0.15%
chr17,260118,273510,400566,22,65,109,3,11,20,13392,0.16%,0.49%,0.81%,0.02%,0.08%,0.15%
chr16,3064713,3070072,9074,24,54,82,4,7,8,5359,0.45%,1.01%,1.53%,0.07%,0.13%,0.15%
chr19,19040010,19052070,9454,19,48,65,8,14,18,12060,0.16%,0.40%,0.54%,0.07%,0.12%,0.15%
chr17,31297394,31324895,124912,24,65,94,15,29,41,27501,0.09%,0.24%,0.34%,0.05%,0.11%,0.15%
chr6,27107076,27108418,554313,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,121504,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8370,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8368,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8366,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8367,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8365,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8364,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8362,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8363,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8361,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8360,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8359,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr6,27107076,27108418,8294,9,20,30,1,2,2,1342,0.67%,1.49%,2.24%,0.07%,0.15%,0.15%
chr12,92813870,92821924,574016,22,62,87,7,10,12,8054,0.27%,0.77%,1.08%,0.09%,0.12%,0.15%
chr8,26362202,26371608,10687,18,67,110,1,8,14,9406,0.19%,0.71%,1.17%,0.01%,0.09%,0.15%
chr1,247579458,247612410,114548,33,86,138,12,31,49,32952,0.10%,0.26%,0.42%,0.04%,0.09%,0.15%
chr5,52776239,52782964,10468,16,47,75,1,7,10,6725,0.24%,0.70%,1.12%,0.01%,0.10%,0.15%
chr4,118004718,118006736,133022,18,40,63,0,1,3,2018,0.89%,1.98%,3.12%,0.00%,0.05%,0.15%
chr1,154244987,154248351,10456,7,24,43,1,2,5,3364,0.21%,0.71%,1.28%,0.03%,0.06%,0.15%
chr20,62189439,62205592,85441,28,73,128,8,12,24,16153,0.17%,0.45%,0.79%,0.05%,0.07%,0.15%
chr4,71062213,71070293,54959,16,49,85,3,5,12,8080,0.20%,0.61%,1.05%,0.04%,0.06%,0.15%
chr8,65492814,65496181,27319,12,24,38,1,2,5,3367,0.36%,0.71%,1.13%,0.03%,0.06%,0.15%
chr15,93586636,93632433,56963,45,140,216,13,42,68,45797,0.10%,0.31%,0.47%,0.03%,0.09%,0.15%
chr17,3468738,3500392,7442,40,101,154,11,28,47,31654,0.13%,0.32%,0.49%,0.03%,0.09%,0.15%
chr3,195295573,195311076,347,27,62,93,6,15,23,15503,0.17%,0.40%,0.60%,0.04%,0.10%,0.15%
chr21,43791999,43816955,64699,38,90,135,11,28,37,24956,0.15%,0.36%,0.54%,0.04%,0.11%,0.15%
chr11,49075266,49080664,646754,24,50,80,1,3,8,5398,0.44%,0.93%,1.48%,0.02%,0.06%,0.15%
chr19,7953390,7966901,80131,23,57,79,6,13,20,13511,0.17%,0.42%,0.58%,0.04%,0.10%,0.15%
chr9,131937835,131940540,389792,16,29,41,1,2,4,2705,0.59%,1.07%,1.52%,0.04%,0.07%,0.15%
chr7,73275489,73280223,135886,16,39,53,3,5,7,4734,0.34%,0.82%,1.12%,0.06%,0.11%,0.15%
chr20,123010,126392,81623,11,26,41,2,4,5,3382,0.33%,0.77%,1.21%,0.06%,0.12%,0.15%
chr18,13824154,13826861,4161,19,38,50,2,2,4,2707,0.70%,1.40%,1.85%,0.07%,0.07%,0.15%
chr20,43720951,43729753,3787,9,28,44,3,6,13,8802,0.10%,0.32%,0.50%,0.03%,0.07%,0.15%
chr14,74960423,74963809,122961,12,27,36,2,4,5,3386,0.35%,0.80%,1.06%,0.06%,0.12%,0.15%
chr12,92536286,92539673,694,13,42,76,2,4,5,3387,0.38%,1.24%,2.24%,0.06%,0.12%,0.15%
chr1,7831329,7841492,9341,16,48,85,2,9,15,10163,0.16%,0.47%,0.84%,0.02%,0.09%,0.15%
chr17,33901814,33905882,5193,13,29,56,1,4,6,4068,0.32%,0.71%,1.38%,0.02%,0.10%,0.15%
chr12,50344524,50352664,359,21,58,79,5,8,12,8140,0.26%,0.71%,0.97%,0.06%,0.10%,0.15%
chr6,114178541,114184648,4082,15,40,67,3,6,9,6107,0.25%,0.65%,1.10%,0.05%,0.10%,0.15%
chr8,144694788,144700218,7264,17,41,87,1,3,8,5430,0.31%,0.76%,1.60%,0.02%,0.06%,0.15%
chr19,49990811,49995565,23521,25,40,61,2,3,7,4754,0.53%,0.84%,1.28%,0.04%,0.06%,0.15%
chr6,168456425,168482237,79981,35,107,162,15,33,38,25812,0.14%,0.41%,0.63%,0.06%,0.13%,0.15%
chr11,616565,626078,53841,28,73,125,3,6,14,9513,0.29%,0.77%,1.31%,0.03%,0.06%,0.15%
chr11,17095936,17099334,6207,9,29,43,2,3,5,3398,0.26%,0.85%,1.27%,0.06%,0.09%,0.15%
chr8,145751117,145754516,414919,15,29,32,5,5,5,3399,0.44%,0.85%,0.94%,0.15%,0.15%,0.15%
chr12,109525996,109531436,121642,10,19,40,2,7,8,5440,0.18%,0.35%,0.74%,0.04%,0.13%,0.15%
chr10,29577990,29607257,84569,24,81,138,10,27,43,29267,0.08%,0.28%,0.47%,0.03%,0.09%,0.15%
chr7,22852251,22862470,54543,22,74,124,1,9,15,10219,0.22%,0.72%,1.21%,0.01%,0.09%,0.15%
chr3,196295482,196315930,200933,40,92,141,15,23,30,20448,0.20%,0.45%,0.69%,0.07%,0.11%,0.15%
chr19,3474405,3480540,284422,26,49,84,2,3,9,6135,0.42%,0.80%,1.37%,0.03%,0.05%,0.15%
chr14,35747839,35786699,5687,33,94,165,14,34,57,38860,0.08%,0.24%,0.42%,0.04%,0.09%,0.15%
chr17,4848947,4852356,5216,10,28,49,2,3,5,3409,0.29%,0.82%,1.44%,0.06%,0.09%,0.15%
chr11,102562218,102576537,64066,30,79,125,6,11,21,14319,0.21%,0.55%,0.87%,0.04%,0.08%,0.15%
chr17,7210318,7215774,1984,18,49,74,1,5,8,5456,0.33%,0.90%,1.36%,0.02%,0.09%,0.15%
chr19,19287712,19303400,729991,21,39,61,4,14,23,15688,0.13%,0.25%,0.39%,0.03%,0.09%,0.15%
chr22,39708887,39716394,6122,18,56,84,4,7,11,7507,0.24%,0.75%,1.12%,0.05%,0.09%,0.15%
chr11,117070037,117075498,6876,10,33,46,2,4,8,5461,0.18%,0.60%,0.84%,0.04%,0.07%,0.15%
chr1,153586731,153589462,57402,21,31,38,2,4,4,2731,0.77%,1.14%,1.39%,0.07%,0.15%,0.15%
chr11,392614,404908,11187,46,101,159,8,13,18,12294,0.37%,0.82%,1.29%,0.07%,0.11%,0.15%
chr6,12290596,12297427,1906,17,50,81,1,5,10,6831,0.25%,0.73%,1.19%,0.01%,0.07%,0.15%
chr16,89786808,89807311,92822,22,77,129,3,18,30,20503,0.11%,0.38%,0.63%,0.01%,0.09%,0.15%
chr16,57702099,57723975,222487,27,66,112,6,16,32,21876,0.12%,0.30%,0.51%,0.03%,0.07%,0.15%
chr22,43562628,43583139,23170,31,78,134,11,24,30,20511,0.15%,0.38%,0.65%,0.05%,0.12%,0.15%
chr4,972861,987228,10861,30,68,99,7,14,21,14367,0.21%,0.47%,0.69%,0.05%,0.10%,0.15%
chr17,7975954,7991021,242,26,57,82,7,15,22,15067,0.17%,0.38%,0.54%,0.05%,0.10%,0.15%
chr19,52255279,52273779,2358,37,87,146,8,21,27,18500,0.20%,0.47%,0.79%,0.04%,0.11%,0.15%
chr19,39923847,39926588,6217,13,33,50,1,2,4,2741,0.47%,1.20%,1.82%,0.04%,0.07%,0.15%
chr1,113252616,113258099,333926,12,35,49,3,5,8,5483,0.22%,0.64%,0.89%,0.05%,0.09%,0.15%
chr17,40719086,40725257,6945,6,24,35,3,7,9,6171,0.10%,0.39%,0.57%,0.05%,0.11%,0.15%
chr19,36605191,36616849,1155,19,51,73,5,13,17,11658,0.16%,0.44%,0.63%,0.04%,0.11%,0.15%
chr6,167569759,167571817,2853,18,50,72,0,3,3,2058,0.87%,2.43%,3.50%,0.00%,0.15%,0.15%
chr19,56347944,56393220,147945,36,113,180,17,47,66,45276,0.08%,0.25%,0.40%,0.04%,0.10%,0.15%
chr7,96634860,96640351,1750,15,46,69,1,3,8,5491,0.27%,0.84%,1.26%,0.02%,0.05%,0.15%
chr17,3799886,3819794,5023,31,66,113,8,16,29,19908,0.16%,0.33%,0.57%,0.04%,0.08%,0.15%
chr7,102105376,102113615,222229,11,33,46,2,11,12,8239,0.13%,0.40%,0.56%,0.02%,0.13%,0.15%
chr10,129676105,129691211,119467,30,80,129,3,17,22,15106,0.20%,0.53%,0.85%,0.02%,0.11%,0.15%
chr17,80400465,80408705,79415,19,42,69,4,9,12,8240,0.23%,0.51%,0.84%,0.05%,0.11%,0.15%
chr17,74070875,74073622,8811,16,33,53,1,2,4,2747,0.58%,1.20%,1.93%,0.04%,0.07%,0.15%
chr15,85198360,85201794,4828,13,32,46,1,3,5,3434,0.38%,0.93%,1.34%,0.03%,0.09%,0.15%
chr16,56995762,57017757,1071,33,88,141,8,19,32,21995,0.15%,0.40%,0.64%,0.04%,0.09%,0.15%
chr9,116169515,116172952,54107,28,57,102,0,2,5,3437,0.81%,1.66%,2.97%,0.00%,0.06%,0.15%
chr17,79648204,79650954,339231,20,45,76,3,3,4,2750,0.73%,1.64%,2.76%,0.11%,0.11%,0.15%
chr8,12282913,12293915,653333,17,33,43,6,9,16,11002,0.15%,0.30%,0.39%,0.05%,0.08%,0.15%
chr5,178405328,178423207,2916,21,51,73,11,20,26,17879,0.12%,0.29%,0.41%,0.06%,0.11%,0.15%
chr11,13513602,13517728,5741,8,30,50,1,3,6,4126,0.19%,0.73%,1.21%,0.02%,0.07%,0.15%
chr19,39292311,39304004,3960,16,43,73,2,10,17,11693,0.14%,0.37%,0.62%,0.02%,0.09%,0.15%
chr19,18485541,18499986,9518,29,58,83,5,11,21,14445,0.20%,0.40%,0.57%,0.03%,0.08%,0.15%
chr3,120315156,120321347,4710,13,39,69,3,6,9,6191,0.21%,0.63%,1.11%,0.05%,0.10%,0.15%
chr1,244214585,244220778,10472,25,65,104,1,8,9,6193,0.40%,1.05%,1.68%,0.02%,0.13%,0.15%
chr15,90808891,90816463,51335,16,36,80,3,6,11,7572,0.21%,0.48%,1.06%,0.04%,0.08%,0.15%
chr12,52400724,52409673,160622,15,43,69,1,8,13,8949,0.17%,0.48%,0.77%,0.01%,0.09%,0.15%
chr11,6280966,6293357,887,33,82,105,6,15,18,12391,0.27%,0.66%,0.85%,0.05%,0.12%,0.15%
chr10,16555742,16564004,389941,13,23,42,4,6,12,8262,0.16%,0.28%,0.51%,0.05%,0.07%,0.15%
chr17,45884738,45899200,114881,13,46,69,5,13,21,14462,0.09%,0.32%,0.48%,0.03%,0.09%,0.15%
chr11,3666358,3685646,417,22,58,98,6,18,28,19288,0.11%,0.30%,0.51%,0.03%,0.09%,0.15%
chr9,35561828,35563896,730112,6,25,48,0,1,3,2068,0.29%,1.21%,2.32%,0.00%,0.05%,0.15%
chr13,28494157,28500368,3651,29,66,104,3,9,9,6211,0.47%,1.06%,1.67%,0.05%,0.14%,0.14%
chr6,166571144,166582188,6862,22,77,122,3,6,16,11044,0.20%,0.70%,1.10%,0.03%,0.05%,0.14%
chr4,71554196,71556267,57050,14,21,33,1,1,3,2071,0.68%,1.01%,1.59%,0.05%,0.05%,0.14%
chr22,20099389,20104915,27037,23,61,89,4,7,8,5526,0.42%,1.10%,1.61%,0.07%,0.13%,0.14%
chr19,41349443,41356352,1548,21,53,89,3,5,10,6909,0.30%,0.77%,1.29%,0.04%,0.07%,0.14%
chr5,132149033,132152488,134548,7,18,36,1,2,5,3455,0.20%,0.52%,1.04%,0.03%,0.06%,0.14%
chr2,176987088,176989853,3235,13,33,60,0,4,4,2765,0.47%,1.19%,2.17%,0.00%,0.14%,0.14%
chr11,65479467,65487075,10524,13,36,55,3,9,11,7608,0.17%,0.47%,0.72%,0.04%,0.12%,0.14%
chr14,96722161,96735304,623,20,64,94,4,11,19,13143,0.15%,0.49%,0.72%,0.03%,0.08%,0.14%
chr7,77423045,77427897,85025,16,29,37,3,4,7,4852,0.33%,0.60%,0.76%,0.06%,0.08%,0.14%
chr20,23583047,23586513,128822,15,35,52,4,5,5,3466,0.43%,1.01%,1.50%,0.12%,0.14%,0.14%
chr19,797075,812327,5725,43,128,214,2,10,22,15252,0.28%,0.84%,1.40%,0.01%,0.07%,0.14%
chr20,853296,896977,51378,52,147,219,20,44,63,43681,0.12%,0.34%,0.50%,0.05%,0.10%,0.14%
chr16,90071273,90086536,79007,28,60,106,7,16,22,15263,0.18%,0.39%,0.69%,0.05%,0.10%,0.14%
chr14,103566481,103576896,91828,20,45,69,2,8,15,10415,0.19%,0.43%,0.66%,0.02%,0.08%,0.14%
chr2,242792033,242801060,5133,19,51,77,2,9,13,9027,0.21%,0.56%,0.85%,0.02%,0.10%,0.14%
chr18,657604,673578,7298,43,92,143,5,10,23,15974,0.27%,0.58%,0.90%,0.03%,0.06%,0.14%
chr7,6048876,6063465,7965,23,52,85,5,11,21,14589,0.16%,0.36%,0.58%,0.03%,0.08%,0.14%
chr14,94953611,94984181,145264,35,99,161,7,27,44,30570,0.11%,0.32%,0.53%,0.02%,0.09%,0.14%
chr17,79670387,79674556,6182,18,41,68,1,4,6,4169,0.43%,0.98%,1.63%,0.02%,0.10%,0.14%
chr18,77724561,77730822,440498,15,48,76,2,4,9,6261,0.24%,0.77%,1.21%,0.03%,0.06%,0.14%
chr11,6226796,6232362,160298,30,73,90,5,8,8,5566,0.54%,1.31%,1.62%,0.09%,0.14%,0.14%
chr19,30094924,30108144,10775,20,45,78,5,12,19,13220,0.15%,0.34%,0.59%,0.04%,0.09%,0.14%
chr1,150237804,150241980,51107,9,27,43,2,4,6,4176,0.22%,0.65%,1.03%,0.05%,0.10%,0.14%
chr22,39410088,39416357,27350,19,40,55,3,9,9,6269,0.30%,0.64%,0.88%,0.05%,0.14%,0.14%
chr16,1876968,1890208,81889,24,44,87,8,11,19,13240,0.18%,0.33%,0.66%,0.06%,0.08%,0.14%
chr19,57999079,58006048,79744,12,41,58,2,7,10,6969,0.17%,0.59%,0.83%,0.03%,0.10%,0.14%
chr14,94571182,94583033,3429,17,36,61,3,8,17,11851,0.14%,0.30%,0.51%,0.03%,0.07%,0.14%
chr7,142829170,142836839,5304,14,26,42,4,8,11,7669,0.18%,0.34%,0.55%,0.05%,0.10%,0.14%
chr17,4442192,4458926,10514,44,92,148,12,18,24,16734,0.26%,0.55%,0.88%,0.07%,0.11%,0.14%
chr4,15961866,15970932,83888,20,53,84,3,8,13,9066,0.22%,0.58%,0.93%,0.03%,0.09%,0.14%
chr17,1397865,1420182,51763,34,86,142,11,22,32,22317,0.15%,0.39%,0.64%,0.05%,0.10%,0.14%
chr1,22303514,22325135,23436,32,62,80,14,26,31,21621,0.15%,0.29%,0.37%,0.06%,0.12%,0.14%
chr16,2510081,2514964,80178,9,17,26,2,4,7,4883,0.18%,0.35%,0.53%,0.04%,0.08%,0.14%
chr3,42299317,42307699,885,23,52,78,2,7,12,8382,0.27%,0.62%,0.93%,0.02%,0.08%,0.14%
chr1,223566715,223568812,164127,18,41,55,0,2,3,2097,0.86%,1.96%,2.62%,0.00%,0.10%,0.14%
chr7,93514709,93520303,7980,24,45,61,6,7,8,5594,0.43%,0.80%,1.09%,0.11%,0.13%,0.14%
chr19,35447258,35454953,126375,18,40,63,3,5,11,7695,0.23%,0.52%,0.82%,0.04%,0.06%,0.14%
